,Open.Price,High.Price,Low.Price,Close.Price,Volume,LMNIDS03,DXY,NKY,SPX,SX5E,UKX,VIX,SHSZ300
2011-01-27,26500.0,26862.0,26324.0,26495.0,9388.0,1271.0,77.898,10478.66,1296.63,2967.78,5969.21,16.64,3026.466
2011-01-28,26625.0,27233.0,26436.0,26620.0,6991.0,987.0,77.727,10360.34,1299.54,2989.75,5965.08,16.15,3036.735
2011-01-31,26600.0,27374.0,26600.0,27350.0,7181.0,1460.0,78.133,10237.92,1276.34,2954.13,5881.37,20.04,3076.508
2011-02-01,27310.0,28120.0,27310.0,27995.0,10887.0,1243.0,77.735,10274.5,1286.12,2953.63,5862.94,19.53,3077.283
2011-02-02,28000.0,28186.0,27800.0,28000.0,5986.0,1337.0,77.067,10457.36,1307.59,3006.81,5957.82,17.63,
2011-02-03,28000.0,28149.0,27700.0,27950.0,5401.0,1762.0,77.158,10431.36,1304.03,3012.7,6000.07,17.3,
2011-02-04,27975.0,28351.0,27830.0,28350.0,6849.0,921.0,77.748,10543.52,1307.1,2995.49,5983.34,16.69,
2011-02-07,28330.0,28779.0,28175.0,28300.0,8392.0,1546.0,78.044,10592.04,1310.87,3003.19,5997.38,15.93,
2011-02-08,28300.0,28430.0,27540.0,28380.0,8445.0,761.0,78.029,10635.98,1319.05,3031.18,6051.03,16.28,
2011-02-09,28225.0,28800.0,28035.0,28375.0,6575.0,861.0,77.999,10617.83,1324.57,3042.5,6091.33,15.81,3040.949
2011-02-10,28320.0,28600.0,27801.0,27850.0,8932.0,1048.0,77.641,10605.65,1320.88,3031.62,6052.29,15.87,3104.163
2011-02-11,28200.0,28399.0,27625.0,28300.0,8426.0,748.0,78.25,,1321.87,3025.68,6020.01,16.09,3120.9559999999997
2011-02-14,28225.0,28896.0,28150.0,28895.0,7057.0,1259.0,78.46,10725.54,1329.15,3024.37,6062.9,15.69,3219.143
2011-02-15,28730.0,29095.0,28550.0,28745.0,7694.0,768.0,78.61399999999998,10746.67,1332.32,3018.38,6060.09,15.95,3217.671
2011-02-16,28705.0,28850.0,28450.0,28575.0,6651.0,972.0,78.57300000000002,10808.29,1328.01,3030.46,6037.08,16.37,3248.527
2011-02-17,28701.0,28800.0,28000.0,28490.0,7762.0,823.0,78.223,10836.64,1336.32,3061.92,6085.27,16.72,3245.907
2011-02-18,28675.0,29289.0,28235.0,29150.0,13115.0,13468.0,77.995,10842.8,1340.43,3064.54,6087.38,16.59,3211.8759999999997
2011-02-21,29150.0,29425.0,29050.0,29300.0,3930.0,691.0,77.664,10857.53,,3068.0,6082.99,,3257.908
2011-02-22,29250.0,29300.0,28450.0,28650.0,9224.0,967.0,77.689,10664.7,1343.01,3012.34,6014.8,16.43,3163.578
2011-02-23,28450.0,28713.0,27995.0,28680.0,10176.0,1498.0,77.768,10579.1,1315.44,2983.33,5996.76,20.8,3174.742
2011-02-24,28610.0,28610.0,27130.0,27505.0,13243.0,1463.0,77.40899999999998,10452.71,1307.4,2954.92,5923.53,22.13,3190.935
2011-02-25,27700.0,28249.0,27428.0,28190.0,7950.0,943.0,77.057,10526.76,1306.1,2949.13,5919.98,21.32,3197.617
2011-02-28,28200.0,29100.0,28018.0,28990.0,9412.0,955.0,77.275,10624.09,1319.88,2985.02,6001.2,19.22,3239.559
2011-03-01,29000.0,29220.0,28658.0,28775.0,8434.0,774.0,76.889,10754.03,1327.22,3013.09,5994.01,18.35,3254.893
2011-03-02,28800.0,28900.0,28260.0,28600.0,5893.0,737.0,77.04899999999998,10492.38,1306.33,2983.27,5935.76,21.01,3243.298
2011-03-03,28600.0,29087.0,28600.0,28860.0,5057.0,771.0,76.671,10586.02,1308.44,2958.8,5914.89,20.7,3221.718
2011-03-04,28815.0,29207.0,28555.0,28800.0,6000.0,1372.0,76.483,10693.66,1330.97,2969.24,6005.09,18.6,3270.6659999999997
2011-03-07,28700.0,29020.0,27050.0,27475.0,10134.0,1269.0,76.4,10505.02,1321.15,2949.18,5990.39,19.06,3334.51
2011-03-08,27450.0,27480.0,26215.0,26825.0,13331.0,1039.0,76.49600000000002,10525.19,1310.13,2931.42,5973.78,20.66,3337.4570000000012
2011-03-09,26900.0,27315.0,26149.0,26150.0,8519.0,782.0,76.798,10589.5,1321.82,2945.42,5974.76,19.82,3338.8579999999997
2011-03-10,26110.0,26290.0,25650.0,26050.0,12236.0,1586.0,76.721,10434.38,1320.02,2935.11,5937.3,20.22,3280.259
2011-03-11,26065.0,26300.0,25300.0,25950.0,8133.0,2291.0,77.27600000000002,10254.43,1295.11,2909.73,5845.29,21.88,3247.3759999999997
2011-03-14,25970.0,26124.0,25525.0,25825.0,5156.0,555.0,76.77600000000002,9620.49,1304.28,2883.84,5828.67,20.08,3262.92
2011-03-15,25825.0,26000.0,24675.0,24705.0,12913.0,9519.0,76.34899999999998,8605.15,1296.39,2852.11,5775.24,21.13,3203.961
2011-03-16,25000.0,25480.0,24800.0,24950.0,8597.0,522.0,76.328,9093.72,1281.87,2784.2,5695.28,24.32,3248.195
2011-03-17,24900.0,26000.0,24900.0,25925.0,10490.0,1005.0,76.681,8962.67,1256.88,2721.24,5598.23,29.4,3197.1
2011-03-18,25850.0,26800.0,25800.0,26750.0,9914.0,1328.0,76.041,9206.75,1273.72,2786.16,5696.11,26.37,3215.685
2011-03-21,26600.0,26950.0,26301.0,26750.0,5804.0,321.0,75.718,,1279.2,2792.61,5718.13,24.44,3207.11
2011-03-22,26750.0,26750.0,26200.0,26350.0,6776.0,753.0,75.40100000000002,9608.32,1298.38,2860.81,5786.09,20.61,3222.961
2011-03-23,26350.0,26900.0,26349.0,26825.0,5870.0,468.0,75.434,9449.47,1293.77,2854.79,5762.71,20.21,3264.926
2011-03-24,26800.0,27355.0,26650.0,27200.0,7094.0,622.0,75.794,9435.01,1297.54,2866.23,5795.88,19.17,3251.361
2011-03-25,26925.0,27280.0,26800.0,27050.0,4249.0,765.0,75.656,9536.13,1309.66,2909.78,5880.87,18.0,3294.4840000000013
2011-03-28,27050.0,27050.0,26175.0,26220.0,4897.0,673.0,76.217,9478.53,1313.8,2911.33,5900.76,17.91,3290.571
2011-03-29,26100.0,26690.0,26020.0,26600.0,4245.0,641.0,76.128,9459.08,1310.19,2914.76,5904.49,19.44,3257.979000000001
2011-03-30,26501.0,26625.0,25901.0,26030.0,5252.0,614.0,76.249,9708.79,1319.44,2910.93,5932.17,18.16,3256.08
2011-03-31,26000.0,26322.0,25700.0,26095.0,5911.0,1033.0,76.118,9755.1,1328.26,2936.44,5948.3,17.71,3223.288
2011-04-01,26200.0,26200.0,25295.0,25600.0,12027.0,1514.0,75.857,9708.39,1325.83,2910.91,5908.76,17.74,3272.729000000001
2011-04-04,25700.0,25895.0,25350.0,25500.0,5579.0,675.0,75.833,9718.89,1332.41,2962.92,6009.92,17.4,
2011-04-05,25450.0,25625.0,25050.0,25405.0,7683.0,1750.0,75.91199999999998,9615.55,1332.87,2955.84,6016.98,17.5,
2011-04-06,25500.0,26545.0,25500.0,26430.0,12021.0,1370.0,75.882,9584.37,1332.63,2950.96,6007.06,17.25,3311.067
2011-04-07,26500.0,27450.0,26351.0,26800.0,12058.0,1540.0,75.514,9590.93,1335.54,2971.48,6041.13,16.9,3324.4190000000012
2011-04-08,27000.0,27638.0,26998.0,27600.0,7903.0,1092.0,75.585,9768.08,1333.51,2963.69,6007.37,17.11,3353.3579999999997
2011-04-11,27550.0,27950.0,27370.0,27705.0,6394.0,733.0,75.066,9719.7,1328.17,2984.66,6055.75,17.87,3333.427
2011-04-12,27700.0,27750.0,26575.0,26700.0,8505.0,1201.0,75.056,9555.26,1324.46,2974.58,6053.44,16.59,3326.7709999999997
2011-04-13,26650.0,26950.0,26100.0,26255.0,9217.0,986.0,74.85300000000002,9641.18,1314.16,2932.33,5964.47,17.09,3372.031
2011-04-14,26300.0,26450.0,25750.0,25800.0,7573.0,856.0,74.98,9653.92,1314.41,2949.98,6010.44,16.92,3353.56
2011-04-15,26000.0,26401.0,25950.0,26155.0,5954.0,671.0,74.685,9591.52,1314.52,2917.72,5963.8,16.27,3358.9440000000004
2011-04-18,26200.0,26600.0,25300.0,25505.0,9029.0,733.0,74.832,9556.65,1319.68,2919.05,5996.01,15.32,3359.438
2011-04-19,25600.0,25803.0,25260.0,25300.0,7338.0,903.0,75.50399999999998,9441.03,1305.14,2847.96,5870.08,16.96,3295.812
2011-04-20,25500.0,26440.0,25500.0,26400.0,11874.0,9149.0,75.029,9606.82,1312.62,2857.61,5896.87,15.83,3295.758
2011-04-21,26350.0,26901.0,26312.0,26900.0,6931.0,823.0,74.368,9685.77,1330.36,2921.43,6022.26,15.07,3317.367
2011-04-22,,,,,,,74.109,9682.21,,,,,3299.942
2011-04-25,,,,,,,74.108,9671.96,1337.38,,,14.69,3249.574
2011-04-26,26510.0,26845.0,25850.0,26650.0,6470.0,482.0,73.986,9558.69,1335.25,2936.3,6018.3,15.77,3230.96
2011-04-27,26600.0,26800.0,26295.0,26630.0,5818.0,446.0,73.837,9691.84,1347.24,2955.36,6069.36,15.62,3209.5029999999997
2011-04-28,26800.0,27000.0,26400.0,26850.0,5545.0,776.0,73.51899999999998,9849.74,1355.66,2977.59,6068.16,15.35,3161.776
2011-04-29,,,,,,,73.12100000000002,,1360.48,3005.33,,14.62,3192.723
2011-05-02,,,,,,,72.933,10004.2,1363.61,3011.25,,14.75,
2011-05-03,26737.0,27325.0,26450.0,27305.0,7859.0,1084.0,72.95100000000002,,1361.22,3008.89,6069.9,15.99,3211.132
2011-05-04,27200.0,27200.0,25725.0,25825.0,9208.0,760.0,73.14,,1356.62,3000.39,6082.88,16.7,3129.028
2011-05-05,25750.0,25898.0,24498.0,24525.0,17831.0,2176.0,73.031,,1347.32,2952.02,5984.07,17.08,3126.117
2011-05-06,24600.0,25004.0,24075.0,24605.0,14271.0,2595.0,74.194,9859.2,1335.1,2926.54,5919.98,18.2,3121.3959999999997
2011-05-09,24510.0,25031.0,24230.0,24375.0,6380.0,825.0,74.84100000000002,9794.38,1340.2,2952.9,5976.77,18.4,3129.759
2011-05-10,24600.0,24939.0,24350.0,24850.0,5563.0,607.0,74.737,9818.76,1346.29,2902.4,5942.69,17.16,3153.2209999999995
2011-05-11,24900.0,24950.0,24100.0,24550.0,9136.0,767.0,74.611,9864.26,1357.16,2939.02,6018.89,15.91,3145.0849
2011-05-12,24300.0,24700.0,23791.0,24550.0,10530.0,1226.0,75.327,9716.65,1342.08,2942.43,5976.0,16.95,3101.603
2011-05-13,24600.0,24875.0,24250.0,24400.0,6489.0,1432.0,75.24,9648.77,1348.65,2917.05,5944.96,16.03,3128.093
2011-05-16,24350.0,24448.0,23950.0,24355.0,4627.0,728.0,75.757,9558.3,1337.77,2894.6,5925.87,17.07,3100.4629
2011-05-17,24350.0,24590.0,24050.0,24150.0,5254.0,4650.0,75.47,9567.02,1329.47,2881.31,5923.69,18.24,3116.0281
2011-05-18,24400.0,24730.0,24360.0,24675.0,5936.0,1193.0,75.399,9662.08,1328.98,2849.6,5861.0,17.55,3139.3789
2011-05-19,24600.0,24850.0,23500.0,23555.0,12057.0,1660.0,75.475,9620.82,1340.68,2867.3,5923.49,16.23,3120.6389
2011-05-20,23700.0,23900.0,23155.0,23540.0,9444.0,1939.0,75.123,9607.08,1343.6,2890.6,5955.99,15.52,3121.5959
2011-05-23,23599.0,23599.0,22320.0,22395.0,14269.0,2010.0,75.435,9460.63,1333.27,2853.98,5948.49,17.43,3022.98
2011-05-24,22500.0,22908.0,22203.0,22895.0,5970.0,452.0,76.104,9477.17,1317.37,2794.26,5835.89,18.27,3026.2229
2011-05-25,22895.0,23500.0,22661.0,23400.0,8448.0,1175.0,75.882,9422.88,1316.28,2801.27,5858.41,17.82,2990.343
2011-05-26,23400.0,23550.0,22725.0,22825.0,7453.0,822.0,75.932,9562.05,1320.47,2816.84,5870.14,17.07,2978.3811
2011-05-27,23000.0,23320.0,22800.0,23090.0,6324.0,1395.0,75.54899999999998,9521.94,1325.69,2799.82,5880.99,16.09,2963.31
2011-05-30,,,,,,,74.954,9504.97,,2819.4,,,2954.51
2011-05-31,23101.0,23596.0,22800.0,23595.0,6523.0,593.0,74.958,9693.73,1331.1,2814.34,5938.87,15.98,3001.56
2011-06-01,23530.0,23530.0,23100.0,23250.0,4892.0,511.0,74.638,9719.61,1345.2,2861.92,5989.99,15.45,3004.17
2011-06-02,23050.0,23287.0,22436.0,22575.0,7797.0,756.0,74.67699999999998,9555.04,1314.55,2827.66,5928.61,18.3,2955.71
2011-06-03,22700.0,23000.0,22350.0,22800.0,5398.0,986.0,74.333,9492.21,1312.94,2782.57,5847.92,18.09,2986.35
2011-06-06,22850.0,23138.0,22600.0,22630.0,3495.0,389.0,73.783,9380.35,1300.16,2789.11,5855.01,17.95,
2011-06-07,22600.0,22970.0,22550.0,22625.0,4410.0,558.0,73.952,9442.95,1286.17,2765.33,5863.16,18.49,3004.26
2011-06-08,22700.0,22897.0,22400.0,22705.0,4420.0,862.0,73.521,9449.46,1284.94,2774.5,5864.65,18.07,3008.65
2011-06-09,22775.0,23225.0,22540.0,23200.0,4791.0,689.0,73.93,9467.15,1279.56,2752.06,5808.89,18.79,2951.89
2011-06-10,23199.0,23199.0,22700.0,22850.0,4471.0,1061.0,74.192,9514.44,1289.0,2778.12,5856.34,17.77,2961.93
2011-06-13,22750.0,22800.0,22120.0,22275.0,6560.0,992.0,74.795,9448.21,1270.98,2732.54,5765.8,18.86,2950.35
2011-06-14,22150.0,22485.0,22130.0,22315.0,8973.0,1340.0,74.512,9547.79,1271.83,2733.95,5773.46,19.61,2993.56
2011-06-15,22400.0,22500.0,21875.0,22030.0,6619.0,635.0,74.332,9574.32,1287.87,2779.94,5803.13,18.26,2963.12
2011-06-16,22025.0,22100.0,21599.0,21600.0,6888.0,721.0,75.601,9411.28,1265.42,2731.5,5742.55,21.32,2917.58
2011-06-17,21700.0,22253.0,21525.0,21625.0,7155.0,1126.0,75.752,9351.4,1267.64,2730.62,5698.81,22.73,2892.16
2011-06-20,21600.0,21800.0,21337.0,21650.0,6194.0,901.0,74.988,9354.32,1271.5,2770.12,5714.94,21.85,2874.9
2011-06-21,21648.0,22125.0,21648.0,21880.0,9698.0,10535.0,75.029,9459.66,1278.36,2748.01,5693.39,19.99,2909.07
2011-06-22,21950.0,22425.0,21753.0,22150.0,5017.0,420.0,74.541,9629.43,1295.52,2801.99,5775.31,18.86,2908.58
2011-06-23,22300.0,22300.0,21730.0,22125.0,5627.0,700.0,74.783,9596.74,1287.14,2795.07,5772.99,18.52,2957.63
2011-06-24,22150.0,22300.0,21950.0,22150.0,4234.0,803.0,75.447,9678.71,1283.5,2730.86,5674.38,19.29,3027.47
2011-06-27,21925.0,22298.0,21825.0,22200.0,4320.0,527.0,75.665,9578.31,1268.45,2715.88,5697.72,21.1,3036.49
2011-06-28,22250.0,22725.0,22200.0,22680.0,5703.0,704.0,75.392,9648.98,1280.1,2723.93,5722.34,20.56,3041.73
2011-06-29,22700.0,23175.0,22700.0,23075.0,8422.0,889.0,75.063,9797.26,1296.67,2750.49,5766.88,19.17,3000.17
2011-06-30,23020.0,23610.0,22950.0,23425.0,8121.0,1373.0,74.691,9816.09,1307.41,2802.55,5855.95,17.27,3044.09
2011-07-01,23350.0,23455.0,22999.0,23000.0,4991.0,1496.0,74.303,9868.07,1320.64,2848.53,5945.71,16.52,3049.75
2011-07-04,23200.0,23375.0,23061.0,23175.0,1806.0,218.0,74.34899999999998,9965.09,,2875.67,5989.76,,3121.98
2011-07-05,23101.0,23400.0,23025.0,23300.0,4413.0,570.0,74.275,9972.46,1339.67,2870.19,6017.54,15.87,3122.5
2011-07-06,23350.0,23580.0,23160.0,23380.0,5392.0,523.0,74.691,10082.48,1337.88,2850.51,6024.03,16.06,3113.71
2011-07-07,23301.0,23978.0,23300.0,23900.0,7499.0,939.0,75.122,10071.14,1339.22,2832.63,6002.92,16.34,3101.68
2011-07-08,23900.0,24299.0,23555.0,23890.0,9656.0,1491.0,74.957,10137.73,1353.22,2844.51,6054.55,15.95,3109.18
2011-07-11,23900.0,24050.0,23075.0,23225.0,6433.0,864.0,75.179,10069.53,1343.8,2790.09,5990.58,15.95,3113.21
2011-07-12,23100.0,23650.0,22750.0,23645.0,8243.0,660.0,75.98899999999998,9925.92,1319.49,2709.14,5929.16,18.39,3056.91
2011-07-13,23520.0,24225.0,23460.0,23975.0,8022.0,1015.0,75.809,9963.14,1313.64,2693.53,5868.96,19.87,3106.25
2011-07-14,24050.0,24225.0,23775.0,24210.0,5354.0,398.0,75.208,9936.12,1317.72,2715.05,5906.43,19.91,3115.75
2011-07-15,24050.0,24499.0,23940.0,24155.0,7332.0,912.0,75.253,9974.47,1308.87,2695.29,5846.95,20.8,3128.89
2011-07-18,24100.0,24215.0,23625.0,23800.0,5599.0,759.0,75.126,,1316.14,2675.38,5843.66,19.53,3122.6
2011-07-19,23850.0,24290.0,23820.0,24125.0,7991.0,3684.0,75.483,9889.72,1305.44,2622.36,5752.81,20.95,3095.13
2011-07-20,24050.0,24185.0,23780.0,24045.0,5048.0,705.0,75.221,10005.9,1326.73,2657.45,5789.99,19.21,3091.57
2011-07-21,24050.0,24130.0,23710.0,23950.0,6621.0,796.0,74.792,10010.39,1325.84,2705.75,5853.82,19.09,3059.14
2011-07-22,23900.0,24201.0,23850.0,23975.0,3165.0,1029.0,74.015,10132.11,1343.8,2763.34,5899.89,17.56,3067.99
2011-07-25,23950.0,23976.0,23689.0,23800.0,3731.0,549.0,74.20100000000002,10050.01,1345.02,2772.6,5935.02,17.52,2968.29
2011-07-26,23850.0,24321.0,23850.0,24100.0,6554.0,727.0,74.064,10097.72,1337.43,2742.7,5925.26,19.35,2977.77
2011-07-27,24100.0,24500.0,24045.0,24395.0,7617.0,647.0,73.47399999999998,10047.19,1331.94,2739.65,5929.73,20.23,3000.05
2011-07-28,24300.0,24700.0,24230.0,24555.0,7154.0,509.0,74.087,9901.35,1304.89,2693.71,5856.58,22.98,2981.0
2011-07-29,24600.0,24996.0,24380.0,24995.0,9265.0,1159.0,74.222,9833.03,1300.67,2692.76,5873.21,23.74,2972.08
2011-08-01,24901.0,25195.0,24451.0,24550.0,11763.0,973.0,73.89699999999998,9965.01,1292.28,2670.37,5815.19,25.25,2977.72
2011-08-02,24650.0,24850.0,24451.0,24800.0,5304.0,600.0,74.262,9844.59,1286.94,2593.34,5774.43,23.66,2956.38
2011-08-03,24650.0,24685.0,23800.0,23805.0,12907.0,938.0,74.513,9637.14,1254.05,2544.89,5718.39,24.79,2954.87
2011-08-04,23950.0,24050.0,23425.0,23650.0,10099.0,1125.0,74.044,9659.18,1260.34,2497.83,5584.51,23.38,2960.31
2011-08-05,23420.0,23420.0,22350.0,22505.0,18309.0,2502.0,75.124,9299.88,1200.07,2412.29,5393.14,31.66,2897.42
2011-08-08,22525.0,22600.0,21200.0,21250.0,18813.0,1512.0,74.598,9097.56,1199.38,2375.15,5246.99,32.0,2793.9
2011-08-09,21255.0,21975.0,20200.0,21205.0,16407.0,1508.0,74.791,8944.48,1119.46,2286.91,5068.95,48.0,2798.19
2011-08-10,21500.0,22100.0,20936.0,20970.0,13277.0,1211.0,74.605,9038.74,1172.53,2294.24,5164.92,35.06,2824.12
2011-08-11,20968.0,21799.0,20700.0,21600.0,7907.0,839.0,74.63600000000002,8981.94,1120.76,2153.77,5007.16,42.99,2866.92
2011-08-12,21700.0,21940.0,21320.0,21400.0,7803.0,1067.0,74.67699999999998,8963.72,1172.64,2215.45,5162.83,39.0,2875.36
2011-08-15,21600.0,21850.0,21276.0,21300.0,6486.0,759.0,74.607,9086.41,1178.81,2307.33,5320.03,36.36,2917.88
2011-08-16,21500.0,21725.0,21235.0,21700.0,10362.0,7334.0,73.836,9107.43,1204.49,2324.48,5350.58,31.87,2897.58
2011-08-17,21600.0,21989.0,21500.0,21950.0,5195.0,521.0,74.01,9057.26,1192.76,2323.67,5357.63,32.85,2886.01
2011-08-18,21900.0,21925.0,21235.0,21300.0,5762.0,661.0,73.67399999999998,8943.76,1193.89,2331.12,5331.6,31.58,2834.25
2011-08-19,21250.0,21589.0,21118.0,21205.0,6581.0,989.0,74.244,8719.24,1140.65,2206.61,5092.23,42.67,2807.66
2011-08-22,21200.0,21366.0,20760.0,20850.0,6850.0,761.0,74.009,8628.13,1123.53,2159.07,5040.76,43.05,2777.79
2011-08-23,20900.0,21177.0,20650.0,20660.0,8205.0,1020.0,74.074,8733.01,1123.82,2183.39,5095.3,42.44,2821.0
2011-08-24,20875.0,21061.0,20500.0,20825.0,8488.0,1033.0,73.89399999999998,8639.61,1162.35,2199.98,5129.42,36.27,2810.02
2011-08-25,20850.0,21295.0,20825.0,20850.0,5337.0,1226.0,74.012,8772.36,1177.6,2238.7,5205.85,35.9,2903.84
2011-08-26,20990.0,21700.0,20900.0,21450.0,8061.0,1915.0,74.279,8797.78,1159.27,2216.7,5131.1,39.76,2901.22
2011-08-29,,,,,,,73.814,8851.35,1176.8,2190.44,,35.59,2852.81
2011-08-30,21701.0,22049.0,21650.0,21905.0,7887.0,816.0,73.721,8953.9,1210.08,2239.3,5129.92,32.28,2841.74
2011-08-31,21805.0,22450.0,21755.0,22200.0,6997.0,1384.0,73.946,8955.2,1212.92,2239.14,5268.66,32.89,2846.78
2011-09-01,22208.0,22280.0,21672.0,21750.0,5642.0,715.0,74.117,9060.8,1218.89,2302.08,5394.53,31.62,2834.53
2011-09-02,21700.0,21807.0,21225.0,21500.0,6675.0,937.0,74.479,8950.74,1204.42,2305.75,5418.65,31.82,2803.85
2011-09-05,21500.0,21600.0,20741.0,20895.0,7116.0,796.0,74.756,8784.46,,2220.72,5292.03,,2743.82
2011-09-06,20805.0,20999.0,20500.0,20675.0,8056.0,760.0,75.112,8590.57,1173.97,2107.27,5102.58,33.92,2723.3
2011-09-07,20825.0,21835.0,20825.0,21775.0,7221.0,1204.0,75.952,8763.41,1165.24,2080.1,5156.84,37.0,2779.09
2011-09-08,21721.0,22100.0,21344.0,22075.0,7749.0,714.0,75.467,8793.12,1198.62,2151.16,5318.59,33.38,2756.11
2011-09-09,21705.0,21750.0,21050.0,21150.0,6583.0,541.0,76.24600000000002,8737.66,1185.9,2163.4,5340.38,34.32,2751.09
2011-09-12,21180.0,21655.0,20801.0,21600.0,7067.0,672.0,77.192,8535.67,1154.23,2073.67,5214.65,38.52,
2011-09-13,21645.0,21710.0,21225.0,21300.0,5924.0,887.0,77.578,8616.55,1162.27,1995.01,5129.62,38.59,2720.28
2011-09-14,21400.0,21450.0,20950.0,21375.0,5567.0,680.0,76.919,8518.57,1172.87,2036.64,5174.25,36.91,2733.11
2011-09-15,21350.0,21837.0,21250.0,21800.0,6496.0,754.0,76.833,8668.86,1188.68,2083.38,5227.02,34.6,2729.05
2011-09-16,21750.0,22000.0,21495.0,21510.0,5840.0,621.0,76.241,8864.16,1209.11,2155.62,5337.54,31.97,2733.99
2011-09-19,21600.0,21600.0,20898.0,20975.0,7822.0,719.0,76.59899999999998,,1216.01,2159.28,5368.41,30.98,2679.27
2011-09-20,21100.0,21445.0,20905.0,21220.0,7340.0,727.0,77.146,8721.24,1204.09,2096.1,5259.56,32.73,2689.84
2011-09-21,21000.0,21350.0,20395.0,20400.0,15328.0,9760.0,77.03,8741.16,1202.09,2140.41,5363.71,32.86,2771.01
2011-09-22,20350.0,20450.0,17000.0,18880.0,23041.0,2079.0,77.342,8560.26,1166.76,2098.49,5288.41,37.32,2685.69
2011-09-23,18100.0,19050.0,16800.0,18270.0,23247.0,2314.0,78.455,,1129.56,1995.75,5041.61,41.35,2669.48
2011-09-26,18400.0,18625.0,17150.0,18000.0,14932.0,1796.0,78.501,8374.13,1136.43,2026.03,5066.81,41.25,2610.92
2011-09-27,18500.0,19170.0,18350.0,18955.0,12726.0,2494.0,78.363,8609.95,1162.95,2083.35,5089.37,39.02,2637.88
2011-09-28,18760.0,18950.0,18150.0,18505.0,6815.0,2579.0,77.506,8615.65,1175.38,2194.03,5294.05,37.71,2610.59
2011-09-29,18105.0,18825.0,17880.0,18670.0,7259.0,779.0,77.852,8701.23,1151.06,2176.64,5217.63,41.08,2588.19
2011-09-30,18503.0,18910.0,17545.0,17600.0,8394.0,812.0,78.028,8700.29,1160.4,2212.44,5196.84,38.84,2581.35
2011-10-03,18024.0,19095.0,17311.0,19025.0,11501.0,1601.0,78.553,8545.48,1131.42,2179.66,5128.48,42.96,
2011-10-04,18550.0,19432.0,18101.0,18750.0,8312.0,899.0,79.431,8456.12,1099.23,2138.24,5075.5,45.45,
2011-10-05,18800.0,19100.0,18300.0,18400.0,4287.0,621.0,79.597,8382.98,1123.95,2091.09,4944.44,40.82,
2011-10-06,18780.0,19050.0,18500.0,18950.0,5201.0,617.0,78.919,8522.02,1144.03,2179.42,5102.17,37.81,
2011-10-07,19003.0,19255.0,18607.0,18905.0,5967.0,864.0,78.634,8605.62,1164.97,2248.78,5291.26,36.27,
2011-10-10,19100.0,19550.0,18651.0,19380.0,5009.0,512.0,78.726,,1155.46,2269.19,5303.4,36.2,2557.08
2011-10-11,19300.0,19401.0,18656.0,18875.0,7188.0,785.0,77.494,8773.68,1194.89,2320.8,5399.0,33.02,2551.99
